"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"460","3-hydroxyhippurate","Xenobiotics","Benzoate Metabolism",-0.194748693229666,-0.427531328449439,0.0622545924006939,0.135934820170916,0.831141825375282,""
"461","16a-hydroxy DHEA 3-sulfate","Lipid","Androgenic Steroids",0.0728082533618421,-0.184527967804159,0.320802027531263,0.580372147749944,0.960981009182483,""
"462","17alpha-hydroxypregnenolone 3-sulfate","Lipid","Pregnenolone Steroids",-0.12821371627481,-0.370089550221031,0.129941441533266,0.328923504733971,0.884597816934896,""
"463","pregnenolone sulfate","Lipid","Pregnenolone Steroids",0.116821244209314,-0.141294798803862,0.360065049130454,0.374053046596382,0.902750344938003,""
"464","andro steroid monosulfate C19H28O6S (1)*","Lipid","Androgenic Steroids",0.131513224577223,-0.126640570853249,0.372982383050449,0.316523983293976,0.879069109471195,""
"465","ergothioneine","Xenobiotics","Food Component/Plant",0.00656633859150734,-0.247771486985038,0.260057432788663,0.960287180594845,0.993926426282083,""
"466","13-HODE + 9-HODE","Lipid","Fatty Acid, Monohydroxy",-0.175762937321271,-0.41132976542686,0.081813130211329,0.179175384065718,0.831141825375282,""
"467","tridecenedioate (C13:1-DC)*","Lipid","Fatty Acid, Dicarboxylate",0.195754911928715,-0.0612124796804906,0.428385836250517,0.133884510078987,0.831141825375282,""
"468","4-cholesten-3-one","Lipid","Sterol",0.325299570899526,0.0778013873127059,0.5350299455072,0.0112080883613726,0.821128717553662,""
"469","cinnamoylglycine","Xenobiotics","Food Component/Plant",-0.114589931730664,-0.358095065278583,0.143510527243749,0.383309463539346,0.905790722465325,""
"470","stearoyl ethanolamide","Lipid","Endocannabinoid",0.130330426107118,-0.127824515471702,0.371945907986428,0.320934128350566,0.879069109471195,""
"471","cis-4-decenoylcarnitine (C10:1)","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",-0.146908990337064,-0.386418794934697,0.111162498072398,0.262669225264046,0.840136154283436,""
"472","2S,3R-dihydroxybutyrate","Lipid","Fatty Acid, Dihydroxy",-0.0993954949037891,-0.344622285286523,0.158530350495502,0.449893715118105,0.924581214313795,""
"473","(12 or 13)-methylmyristate (a15:0 or i15:0)","Lipid","Fatty Acid, Branched",-0.191796920989437,-0.42502220226611,0.0653084310653984,0.142085673972397,0.831141825375282,""
"474","(16 or 17)-methylstearate (a19:0 or i19:0)","Lipid","Fatty Acid, Branched",-0.0438580887218293,-0.29450301351694,0.212432399417907,0.739332787992018,0.971250083747139,""
"475","2R,3R-dihydroxybutyrate","Lipid","Fatty Acid, Dihydroxy",-0.138091618332757,-0.378735991271156,0.120042353982003,0.292706415798685,0.862611622717978,""
"476","4-methylbenzenesulfonate","Xenobiotics","Chemical",0.15581977538349,-0.102146505730521,0.394149370622402,0.234493614018367,0.831141825375282,""
"477","alpha-ketoglutaramate*","Amino Acid","Glutamate Metabolism",-0.0427750066986914,-0.293511693442364,0.213468309685473,0.745550126091893,0.971250083747139,""
"478","2,3-dihydroxyisovalerate","Xenobiotics","Food Component/Plant",0.0265028300819045,-0.228962728117897,0.278552948239106,0.840693246838504,0.978057183043045,""
"479","3-methylglutaconate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",-0.0174556858756315,-0.27018282188028,0.23752181531347,0.894686190654099,0.985647226590267,""
"480","cysteinylglycine disulfide*","Amino Acid","Glutathione Metabolism",0.152944260054122,-0.10506061044013,0.391658389669262,0.2433481533016,0.831141825375282,""
"481","hydantoin-5-propionate","Amino Acid","Histidine Metabolism",-0.324068382056293,-0.534046915226996,-0.0764332967167291,0.0115372866175115,0.821128717553662,""
"482","sulfate*","Xenobiotics","Chemical",-0.159938871191238,-0.397711541357039,0.0979644037312436,0.222200995165788,0.831141825375282,""
"483","4-hydroxy-2-oxoglutaric acid","Lipid","Fatty Acid, Dicarboxylate",0.0544626200355882,-0.202259206772834,0.304180684687108,0.679388105640938,0.960981009182483,""
"484","hydroxycotinine","Xenobiotics","Tobacco Metabolite",0.0953137823346169,-0.162544917304335,0.340985768557614,0.468808996695763,0.926828676604874,""
"485","cotinine N-oxide","Xenobiotics","Tobacco Metabolite",-0.125583001266931,-0.367779713846242,0.132569149187299,0.339026324222896,0.890069110791673,""
"486","diphenhydramine","Xenobiotics","Drug - Respiratory",-0.0749487676914944,-0.322731456874146,0.182448168486681,0.569261376153372,0.960981009182483,""
"487","S-methylcysteine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",-0.116764593236253,-0.360015059874632,0.141351086125877,0.374286378968678,0.902750344938003,""
"488","androsterone glucuronide","Lipid","Androgenic Steroids",0.118263335201043,-0.13986140263709,0.361337091192519,0.368142948956486,0.902750344938003,""
"489","argininate*","Amino Acid","Urea cycle; Arginine and Proline Metabolism",0.224701947146539,-0.0309910216035205,0.452791552139328,0.0843350700959324,0.828516919036565,""
"490","2-oxoarginine*","Amino Acid","Urea cycle; Arginine and Proline Metabolism",0.098505940552093,-0.159405998708522,0.343830382102887,0.453979764781043,0.924581214313795,""
"491","cis-4-decenoate (10:1n6)*","Lipid","Medium Chain Fatty Acid",-0.259917286889411,-0.482028394939925,-0.00641603935694288,0.0449018324086241,0.828516919036565,""
"492","venlafaxine","Xenobiotics","Drug - Psychoactive",-0.114997248040742,-0.358454839025044,0.143106248700525,0.381609630332562,0.905790722465325,""
