"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"133","bilirubin","Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",-0.107407831330938,-0.349768207918908,0.148427503455285,0.409988059703505,0.987519423912971,""
"134","thyroxine","Amino Acid","Tyrosine Metabolism",0.0282848375881067,-0.225139504518439,0.27812457624624,0.828687884484718,0.996044105356185,""
"135","gamma-glutamyltyrosine","Peptide","Gamma-glutamyl Amino Acid",0.0453494375235764,-0.208856427015175,0.293814832038769,0.72856004818915,0.996044105356185,""
"136","alpha-tocopherol","Cofactors and Vitamins","Tocopherol Metabolism",-0.250989339135588,-0.472919520987427,0.000887493272067908,0.0510462396559366,0.841634979113164,""
"137","N-acetylalanine","Amino Acid","Alanine and Aspartate Metabolism",0.210182130087554,-0.0439656314971187,0.438779074021588,0.103985336506809,0.987519423912971,""
"138","vanillylmandelate (VMA)","Amino Acid","Tyrosine Metabolism",-0.132856513641523,-0.372224113235651,0.123082061953247,0.307392121044362,0.987519423912971,""
"139","4-acetamidobutanoate","Amino Acid","Polyamine Metabolism",-0.0716114644150261,-0.317702985450405,0.183518713775085,0.58339148880817,0.996044105356185,""
"140","3-aminoisobutyrate","Nucleotide","Pyrimidine Metabolism, Thymine containing",0.0830018684686054,-0.172422781127318,0.32796756331629,0.524807119335798,0.987519423912971,""
"141","chenodeoxycholate","Lipid","Primary Bile Acid Metabolism",-0.153058277293272,-0.38985282209195,0.10272168930172,0.238937430603374,0.987519423912971,""
"142","citrate","Energy","TCA Cycle",0.0647315087617919,-0.19018945845958,0.311474976284757,0.620155165322113,0.996044105356185,""
"143","2-aminobutyrate","Amino Acid","Glutathione Metabolism",-0.0230273048111137,-0.273263456544131,0.230127888953829,0.860174828697625,0.996044105356185,""
"144","urate","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",0.15005132753676,-0.10576588502019,0.387239809095004,0.248400771424403,0.987519423912971,""
"145","ursodeoxycholate","Lipid","Secondary Bile Acid Metabolism",-0.166728025870827,-0.401683838084691,0.0888219539068552,0.199051430066645,0.987519423912971,""
"146","oleoyl ethanolamide","Lipid","Endocannabinoid",-0.029973645767528,-0.279683338943019,0.223534327118977,0.818627916279819,0.996044105356185,""
"147","gamma-glutamylglutamine","Peptide","Gamma-glutamyl Amino Acid",0.0151448349864495,-0.237581990295259,0.265951293320123,0.907775796738226,0.996044105356185,""
"148","4-hydroxyphenylpyruvate","Amino Acid","Tyrosine Metabolism",0.0379378302723071,-0.215945955419478,0.287016547369966,0.771603151687773,0.996044105356185,""
"149","N-acetylneuraminate","Carbohydrate","Aminosugar Metabolism",0.0583583909475729,-0.196347847176057,0.30568680160397,0.655058968117393,0.996044105356185,""
"150","acetoacetate","Lipid","Ketone Bodies",0.259249454611365,0.00794756771767179,0.479750007386907,0.0436379397882532,0.841634979113164,""
"151","creatine","Amino Acid","Creatine Metabolism",-0.00891996059406421,-0.260156328364716,0.243447618007213,0.945604787242288,0.996044105356185,""
"152","cys-gly, oxidized","Amino Acid","Glutathione Metabolism",-0.126641609258233,-0.36676582532441,0.129302720688866,0.330770423150184,0.987519423912971,""
"153","estrone 3-sulfate","Lipid","Estrogenic Steroids",0.38577389949989,0.148366337176772,0.58113935150117,0.00213728607928507,0.519427333404845,""
"154","dihomolinoleate (20:2n6)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",0.0175406802541907,-0.235319490126101,0.268176853378818,0.893265623777293,0.996044105356185,""
"155","2-hydroxystearate","Lipid","Fatty Acid, Monohydroxy",-0.046728141030463,-0.295076678813315,0.207534682443774,0.720639915177645,0.996044105356185,""
"156","1-methyladenosine","Nucleotide","Purine Metabolism, Adenine containing",0.252508753147858,0.000734733612467911,0.474177965890211,0.0496114157735164,0.841634979113164,""
"157","glycerol","Lipid","Glycerolipid Metabolism",0.11262100822348,-0.143262704853563,0.354391107150125,0.387502719319617,0.987519423912971,""
"158","choline","Lipid","Phospholipid Metabolism",0.0972467171380767,-0.158454369750437,0.34072356527474,0.455922336828805,0.987519423912971,""
"159","gamma-glutamylleucine","Peptide","Gamma-glutamyl Amino Acid",0.199531441216556,-0.0550556315784083,0.429758469549508,0.12314677088321,0.987519423912971,""
"160","3-methoxytyrosine","Amino Acid","Tyrosine Metabolism",-0.0520836583066979,-0.299970066310121,0.202391597337934,0.690157298694611,0.996044105356185,""
"161","4-acetamidophenol","Xenobiotics","Drug - Analgesics, Anesthetics",0.132716258694631,-0.123222668936649,0.372101115579607,0.307907653711445,0.987519423912971,""
"162","beta-hydroxyisovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",0.0446589715546155,-0.209518018650796,0.293182563256878,0.732537211638889,0.996044105356185,""
"163","ibuprofen","Xenobiotics","Drug - Analgesics, Anesthetics",0.347968834294513,0.105382300408729,0.551466865155196,0.0059969625076642,0.667162078977642,""
"164","palmitoyl ethanolamide","Lipid","Endocannabinoid",-0.163686298132408,-0.399058023217196,0.091923490806497,0.207487391719281,0.987519423912971,""
"165","N-linoleoylglycine","Lipid","Fatty Acid Metabolism (Acyl Glycine)",-0.0370595346006236,-0.286209265868896,0.21678431352141,0.776752463587807,0.996044105356185,""
"166","N-palmitoyl-sphingosine (d18:1/16:0)","Lipid","Ceramides",-0.0456673267183535,-0.294105854285406,0.2085517532634,0.726731353185391,0.996044105356185,""
"167","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","Lipid","Phosphatidylethanolamine (PE)",-0.0785237736053716,-0.323938971023056,0.176792852170836,0.547485303178261,0.996044105356185,""
"168","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)","Lipid","Phosphatidylinositol (PI)",-0.129922570453569,-0.369649416413663,0.126021230042787,0.318292407623291,0.987519423912971,""
"169","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","Lipid","Phosphatidylcholine (PC)",-0.136171583320099,-0.375128843393165,0.119755677092099,0.295369174483236,0.987519423912971,""
"170","stearoyl sphingomyelin (d18:1/18:0)","Lipid","Sphingomyelins",-0.00753297853407322,-0.258862665353242,0.24475204535818,0.954052849881333,0.996044105356185,""
"171","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","Lipid","Phosphatidylcholine (PC)",-0.143879660306127,-0.381864721623379,0.111999013786767,0.268615603802687,0.987519423912971,""
"172","N-stearoyl-sphingosine (d18:1/18:0)*","Lipid","Ceramides",0.182965730970363,-0.0721807025409029,0.415636212056869,0.158129412128485,0.987519423912971,""
"173","glycochenodeoxycholate","Lipid","Primary Bile Acid Metabolism",0.211165794396715,-0.0429382244651491,0.439609871238841,0.10233922989677,0.987519423912971,""
"174","taurochenodeoxycholate","Lipid","Primary Bile Acid Metabolism",0.222995438762053,-0.030540286227764,0.449570596574355,0.0840878738722397,0.987519423912971,""
"175","taurocholate","Lipid","Primary Bile Acid Metabolism",0.188027589732838,-0.0669638364715654,0.419963379130165,0.146740859364032,0.987519423912971,""
"176","taurodeoxycholate","Lipid","Secondary Bile Acid Metabolism",0.0821667255604874,-0.173238541569819,0.32721692571137,0.529000663450818,0.987519423912971,""
"177","2-hydroxyhippurate (salicylurate)","Xenobiotics","Benzoate Metabolism",0.251202686493979,-0.000659789498705284,0.473096279226801,0.0508427503269174,0.841634979113164,""
"178","3-(N-acetyl-L-cystein-S-yl) acetaminophen","Xenobiotics","Drug - Analgesics, Anesthetics",0.139766373681631,-0.116142111373437,0.378273375892426,0.282683312835772,0.987519423912971,""
"179","4-acetaminophen sulfate","Xenobiotics","Drug - Analgesics, Anesthetics",0.133530276309276,-0.122406464880868,0.372814857418636,0.304923349579552,0.987519423912971,""
"180","eicosapentaenoate (EPA; 20:5n3)","Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",-0.107764304445591,-0.350084694685655,0.148074782387531,0.408426884309747,0.987519423912971,""
"181","ethylmalonate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",0.135133727322341,-0.120797693785939,0.374219957599682,0.299099760088761,0.987519423912971,""
"182","carnitine","Lipid","Carnitine Metabolism",0.108214517960574,-0.14762921455213,0.350484327748838,0.406460109935313,0.987519423912971,""
"183","3-phenylpropionate (hydrocinnamate)","Xenobiotics","Benzoate Metabolism",-0.057308264414266,-0.304731301218412,0.197360667190389,0.66088400459788,0.996044105356185,""
"184","hippurate","Xenobiotics","Benzoate Metabolism",-0.0830159910410414,-0.327980254214011,0.172408983306289,0.524736347845668,0.987519423912971,""
"185","xanthurenate","Amino Acid","Tryptophan Metabolism",0.0272628140016299,-0.226110249179824,0.277180613302242,0.834789353165109,0.996044105356185,""
"186","suberate (C8-DC)","Lipid","Fatty Acid, Dicarboxylate",0.0455588426828966,-0.208655732894639,0.294006544141208,0.727355250464714,0.996044105356185,""
"187","3-methyl-2-oxovalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",-0.0189581140422903,-0.269492284400392,0.233979654657654,0.884697143311476,0.996044105356185,""
"188","methionine sulfoxide","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",0.0942734403126466,-0.161378423658531,0.338068432225521,0.469877423816647,0.987519423912971,""
"189","3-methylhistidine","Amino Acid","Histidine Metabolism",0.0189517765210085,-0.233985647366195,0.269486405026068,0.884735425563966,0.996044105356185,""
"190","4-acetamidophenylglucuronide","Xenobiotics","Drug - Analgesics, Anesthetics",0.133266233234944,-0.122671255111704,0.372583371842686,0.305889312649846,0.987519423912971,""
"191","5-hydroxylysine","Amino Acid","Lysine Metabolism",-0.0259837404701717,-0.275998553389137,0.227324437957971,0.842439039375498,0.996044105356185,""
"192","glucuronate","Carbohydrate","Aminosugar Metabolism",0.350334504789442,0.108045720678257,0.553338862692033,0.00564179759820609,0.667162078977642,""
"193","glycerol 3-phosphate","Lipid","Glycerolipid Metabolism",-0.102183218067769,-0.345123295003893,0.153589667758233,0.433262931319021,0.987519423912971,""
"194","imidazole lactate","Amino Acid","Histidine Metabolism",-0.165673736911895,-0.40077414535689,0.0898975346822389,0.201947292727557,0.987519423912971,""
"195","kynurenine","Amino Acid","Tryptophan Metabolism",0.017531134760303,-0.235328509789118,0.26816799163789,0.893323369204022,0.996044105356185,""
"196","glycerophosphorylcholine (GPC)","Lipid","Phospholipid Metabolism",-0.0477686835709247,-0.296028453321368,0.206536513132316,0.714681614041392,0.996044105356185,""
"197","maltotetraose","Carbohydrate","Glycogen Metabolism",0.135543425513215,-0.120386420508667,0.374578799119557,0.297623451653027,0.987519423912971,""
"198","maltotriose","Carbohydrate","Glycogen Metabolism",0.120730850513629,-0.135200320556102,0.361559272171046,0.354016391294384,0.987519423912971,""
"199","N-acetylglutamate","Amino Acid","Glutamate Metabolism",0.229253761040144,-0.0239496092963057,0.454817498558805,0.0755287680958021,0.987519423912971,""
"200","tartarate","Xenobiotics","Food Component/Plant",0.133116602125319,-0.122821293455371,0.372452177586253,0.306437592748275,0.987519423912971,""
"201","ribitol","Carbohydrate","Pentose Metabolism",0.126282559748469,-0.129661488158378,0.36644998137185,0.332154412969388,0.987519423912971,""
"202","2-isopropylmalate","Xenobiotics","Food Component/Plant",0.0105363775654116,-0.241926259146844,0.261662852173737,0.935766823292232,0.996044105356185,""
"203","glycodeoxycholate","Lipid","Secondary Bile Acid Metabolism",0.11208720855932,-0.143792192129623,0.353918291038254,0.38977082993731,0.987519423912971,""
"204","theophylline","Xenobiotics","Xanthine Metabolism",0.0886861605314358,-0.166861089597475,0.333068476421499,0.496711844357522,0.987519423912971,""
"205","quinate","Xenobiotics","Food Component/Plant",0.071471098107007,-0.183655046931232,0.317576132130613,0.584131565458019,0.996044105356185,""
"206","theobromine","Xenobiotics","Xanthine Metabolism",0.121999588843634,-0.133935933467876,0.362678120955255,0.348943814261507,0.987519423912971,""
